,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities
0,AK,,5.871036665790326,15,4.398046809227143,1.0,7.776604902830697,4.0,5.5158064468630545,4.0,5.360377343943779,4.0,6.304347826086957,2.0
56,AK,Anchorage,5.780633949726538,15,5.6045283056941395,2.0,7.776604902830697,4.0,5.5158064468630545,4.0,5.360377343943779,4.0,4.645852749301024,1.0
229,AK,Juneau,5.602628357927843,15,5.6045283056941395,2.0,7.776604902830697,4.0,5.5158064468630545,4.0,5.360377343943779,4.0,3.7558247903075452,1.0
1,AL,,3.8496597573515894,16,5.475669304596734,1.0,5.866803689643891,4.0,1.6663434231148089,5.0,0.44533862494820825,4.0,5.794143744454303,2.0
57,AL,Birmingham,3.3793437447051837,12,7.1998652971880786,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,3.14072693383038,1.0
58,AL,Huntsville,3.8792251892829954,12,9.326485940394004,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,3.5135135135135114,1.0
59,AL,Mobile,2.8965476193882584,12,6.496043104899814,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,1.4305684995340164,1.0
60,AL,Montgomery,3.312139846483641,12,7.413706011112983,1.0,4.444444444444445,1.0,1.6663434231148089,5.0,0.44533862494820825,4.0,2.590866728797759,1.0
2,AR,,3.7489158421668236,15,3.8962788348206767,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,5.28393966282165,2.0
61,AR,Fayetteville,4.372589861361975,15,7.014648930796431,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,5.28393966282165,2.0
230,AR,Fort Smith,4.155503699533898,14,7.014648930796431,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,4.1985088536812665,1.0
