,State,City,M,n,PSW,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,PSW_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,PSW_nationalEquityAtlas,M_usNews_stateRankingsEquality,PSW_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,PSW_wallethub_statesRacialEquality,M_wallethub_racialIntegration,PSW_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,PSW_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,PSW_bloomberg_blackWomenMetros,M_georgetown_usaIndex,PSW_georgetown_usaIndex,M_usaNews_statesGenderEquality,PSW_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,PSW_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,PSW_iwpr_reproductiveRights,M_wallethub_womenEquity,PSW_wallethub_womenEquity,M_hrc_stateEquityIndex,PSW_hrc_stateEquityIndex,M_move_lgbtqFamily,PSW_move_lgbtqFamily,M_map_equaliltyMaps,PSW_map_equaliltyMaps,M_axios_lgbtq_equality,PSW_axios_lgbtq_equality,M_wallethub_citiesDisabilities,PSW_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,PSW_ncaj_disabilityAccess,M_usNews_equalityRankings,PSW_usNews_equalityRankings
0,AK,,5.4773457328739505,15,3.694444444444444,4.298,1,6.567764705882352,4,4.63035294117647,4,5.522573741279668,4,6.0,2,,,8.841600000000001,7.6,3.1268571428571432,3.04,7.023908571428572,3.04,6.358217142857144,3.04,6.459428571428571,3.8,,,4.131428571428572,3.1666666666666665,3.764571428571429,2.533333333333333,,,1.837714285714286,2.533333333333333,3.7604571428571427,2.533333333333333,7.714285714285715,4.75,3.831932773109244,3.8,7.1002132200000005,4.75,8.335285714285714,4.75,,,1.645714285714286,3.04,8.22857142857143,3.04
82,AK,Anchorage,5.643725029665497,17,5.1821568627450985,5.815111111111111,2,6.567764705882351,4,4.63035294117647,4,5.522573741279668,4,5.256999999999999,3,20.898634076204168,19.0,17.478590941768513,15.2,2.229187634795111,3.04,5.007459381739754,3.04,4.532877066858375,3.04,4.605032350826742,3.8,,,2.945363048166786,3.1666666666666665,2.6838245866283246,2.533333333333333,,,1.310136592379583,2.533333333333333,2.680891445003594,2.533333333333333,5.499640546369518,4.75,2.7318475916606753,3.8,5.0618582145938165,4.75,5.942361610352263,4.75,5.296080517613228,6.08,1.1732566498921637,3.04,5.866283249460819,3.04
287,AK,Juneau,5.630543146128472,17,5.1821568627450985,5.815111111111111,2,6.567764705882351,4,4.63035294117647,4,5.522573741279668,4,5.161499999999999,3,20.898634076204168,19.0,17.478590941768513,15.2,2.229187634795111,3.04,5.007459381739754,3.04,4.532877066858375,3.04,4.605032350826742,3.8,,,2.945363048166786,3.1666666666666665,2.6838245866283246,2.533333333333333,,,1.310136592379583,2.533333333333333,2.680891445003594,2.533333333333333,5.499640546369518,4.75,2.7318475916606753,3.8,5.0618582145938165,4.75,5.942361610352263,4.75,5.071988497483823,6.08,1.1732566498921637,3.04,5.866283249460819,3.04
1,AL,,3.3238756756756764,16,3.661458333333333,4.938000000000001,1,5.378235294117646,4,2.080181818181819,5,1.3974871001031992,4,5.509803921568627,2,,,10.249686486486489,7.6,2.8229189189189197,3.04,5.424155675675676,3.04,5.21990918918919,3.04,5.510918918918921,3.8,,,2.0583783783783787,3.1666666666666665,1.389318918918919,2.533333333333333,0.0,3.1666666666666665,0.9755675675675676,2.533333333333333,3.492670270270271,2.533333333333333,0.6486486486486487,4.75,0.8139904610492846,3.8,0.0,4.75,5.4265945945945955,4.75,,,1.6605405405405407,3.04,7.488712241653419,3.04
198,AL,Birmingham,3.8978913560666135,18,4.436851851851852,5.962,1,5.238148148148147,5,2.0801818181818184,5,1.3974871001031992,4,4.850401960784313,3,,,20.424932593180014,15.2,2.3295796986518638,3.04,4.476218873909595,3.04,4.307666931007137,3.04,4.547819191118161,3.8,8.564631245043616,7.6,1.6986518636003172,3.1666666666666665,1.146518636003172,2.533333333333333,0.0,3.1666666666666665,0.8050753370340998,2.533333333333333,2.882283901665345,2.533333333333333,0.535289452815226,4.75,0.6717357839249894,3.8,0.0,4.75,4.478231562252181,4.75,5.743099127676446,6.08,1.3703409992069786,3.04,6.179969212109903,3.04
142,AL,Huntsville,4.1443624107850905,18,4.436851851851852,7.225,1,5.238148148148147,5,2.0801818181818184,5,1.3974871001031992,4,4.890401960784313,3,,,24.751784298176048,15.2,2.3295796986518638,3.04,4.476218873909595,3.04,4.307666931007137,3.04,4.547819191118161,3.8,8.564631245043616,7.6,1.6986518636003172,3.1666666666666665,1.146518636003172,2.533333333333333,0.0,3.1666666666666665,0.8050753370340998,2.533333333333333,2.882283901665345,2.533333333333333,0.535289452815226,4.75,0.6717357839249894,3.8,0.0,4.75,4.478231562252181,4.75,5.852726407613005,6.08,1.3703409992069786,3.04,6.179969212109903,3.04
215,AL,Mobile,3.790395717684378,18,4.436851851851852,5.544,1,5.238148148148147,5,2.0801818181818184,5,1.3974871001031992,4,4.666901960784314,3,,,18.992926249008722,15.2,2.3295796986518638,3.04,4.476218873909595,3.04,4.307666931007137,3.04,4.547819191118161,3.8,8.564631245043616,7.6,1.6986518636003172,3.1666666666666665,1.146518636003172,2.533333333333333,0.0,3.1666666666666665,0.8050753370340998,2.533333333333333,2.882283901665345,2.533333333333333,0.535289452815226,4.75,0.6717357839249894,3.8,0.0,4.75,4.478231562252181,4.75,5.240183980967487,6.08,1.3703409992069786,3.04,6.179969212109903,3.04
193,AL,Montgomery,3.913079302141158,18,4.436851851851852,6.089,1,5.238148148148147,5,2.0801818181818184,5,1.3974871001031992,4,4.791401960784313,3,,,20.860015860428234,15.2,2.3295796986518638,3.04,4.476218873909595,3.04,4.307666931007137,3.04,4.547819191118161,3.8,8.564631245043616,7.6,1.6986518636003172,3.1666666666666665,1.146518636003172,2.533333333333333,0.0,3.1666666666666665,0.8050753370340998,2.533333333333333,2.882283901665345,2.533333333333333,0.535289452815226,4.75,0.6717357839249894,3.8,0.0,4.75,4.478231562252181,4.75,5.581398889770024,6.08,1.3703409992069786,3.04,6.179969212109903,3.04
2,AR,,3.586435296126723,15,3.694444444444444,4.0,1,6.200235294117644,4,2.9330588235294117,4,1.4483527409463361,4,5.019607843137255,2,,,8.22857142857143,7.6,6.2537142857142864,3.04,5.410285714285714,3.04,4.896822857142857,3.04,5.122285714285714,3.8,,,1.98,3.1666666666666665,2.4246857142857143,2.533333333333333,,,0.5005714285714287,2.533333333333333,3.6425142857142854,2.533333333333333,1.2857142857142858,4.75,0.40336134453781514,3.8,0.7675906183714286,4.75,4.619571428571429,4.75,,,1.645714285714286,3.04,6.6151260504201685,3.04
202,AR,Fayetteville,4.083026014181791,15,4.2011111111111115,5.851999999999999,1,6.200235294117645,4,2.9330588235294117,4,1.4483527409463361,4,5.019607843137255,2,,,21.173065326633164,15.2,5.499497487437186,3.04,4.757788944723617,3.04,4.306251256281406,3.04,4.504522613065325,3.8,,,1.7412060301507535,3.1666666666666665,2.132261306532663,2.533333333333333,,,0.4402010050251256,2.533333333333333,3.203216080402009,2.533333333333333,1.1306532663316582,4.75,0.3547147502216967,3.8,0.6750168754522612,4.75,4.062437185929648,4.75,,,1.4472361809045224,3.04,5.8173219036358255,3.04
