,State,City,M,n,PSW,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,PSW_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,PSW_nationalEquityAtlas,M_usNews_stateRankingsEquality,PSW_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,PSW_wallethub_statesRacialEquality,M_wallethub_racialIntegration,PSW_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,PSW_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,PSW_bloomberg_blackWomenMetros,M_georgetown_usaIndex,PSW_georgetown_usaIndex,M_usaNews_statesGenderEquality,PSW_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,PSW_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,PSW_iwpr_reproductiveRights,M_wallethub_womenEquity,PSW_wallethub_womenEquity,M_hrc_stateEquityIndex,PSW_hrc_stateEquityIndex,M_move_lgbtqFamily,PSW_move_lgbtqFamily,M_map_equaliltyMaps,PSW_map_equaliltyMaps,M_axios_lgbtq_equality,PSW_axios_lgbtq_equality,M_wallethub_citiesDisabilities,PSW_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,PSW_ncaj_disabilityAccess,M_usNews_equalityRankings,PSW_usNews_equalityRankings
0,AK,,5.925491482948302,15,3.694444444444444,4.398046809227142,1,7.776604902830695,4,5.5158064468630545,4,5.360377343943779,4,6.304347826086957,2,,,9.047410578981552,7.6,3.022740524781341,3.04,8.22857142857143,3.04,8.020114285714287,3.04,7.924472049689441,3.8,,,4.981549815498156,3.1666666666666665,4.117699351053427,2.533333333333333,,,2.802088277171334,2.533333333333333,4.173298487135127,2.533333333333333,8.839285714285715,4.75,3.5685131195335287,3.8,7.1002132200000005,4.75,6.681260112306081,4.75,,,2.1465838509316773,3.04,8.22857142857143,3.04
82,AK,Anchorage,5.844346929892336,17,5.1821568627450985,5.604528305694139,2,7.776604902830695,4,5.5158064468630545,4,5.360377343943779,4,5.475100287693991,3,15.884061081214071,19.0,21.1034082547113,15.2,2.154961193679484,3.04,5.866283249460819,3.04,5.717670740474478,3.04,5.649485825024223,3.8,,,3.5514283971020877,3.1666666666666665,2.9355752622535207,2.533333333333333,,,1.9976545949160593,2.533333333333333,2.9752127963640067,2.533333333333333,6.301671459381739,4.75,2.5440514092049473,3.8,5.0618582145938165,4.75,4.763179687062206,4.75,5.450777632537219,6.08,1.5303347607289093,3.04,5.866283249460819,3.04
287,AK,Juneau,5.782921563922979,17,5.1821568627450985,5.604528305694139,2,7.776604902830695,4,5.5158064468630545,4,5.360377343943779,4,5.030086308197251,3,15.884061081214071,19.0,21.1034082547113,15.2,2.154961193679484,3.04,5.866283249460819,3.04,5.717670740474478,3.04,5.649485825024223,3.8,,,3.5514283971020877,3.1666666666666665,2.9355752622535207,2.533333333333333,,,1.9976545949160593,2.533333333333333,2.9752127963640067,2.533333333333333,6.301671459381739,4.75,2.5440514092049473,3.8,5.0618582145938165,4.75,4.763179687062206,4.75,4.4065464110581685,6.08,1.5303347607289093,3.04,5.866283249460819,3.04
1,AL,,3.1390952755698085,16,3.661458333333333,5.475669304596734,1,5.86680368964389,4,1.6663434231148095,5,0.44533862494820825,4,5.794143744454304,2,,,11.365713583595385,7.6,2.7110865968008824,3.04,5.93067110756456,3.04,5.815054826254828,3.04,6.245076380728556,3.8,,,1.132941059140321,3.1666666666666665,0.40686859853007945,2.533333333333333,0.0,3.1666666666666665,1.3676932746700188,2.533333333333333,3.4336093372424226,2.533333333333333,0.0,4.75,0.4236072807501379,3.8,0.0,4.75,1.7717917784540027,4.75,,,2.1659224441833143,3.04,7.455488141202427,3.04
198,AL,Birmingham,3.813952104406545,18,4.436851851851852,7.1998652971880786,1,5.3400039691996515,5,1.6663434231148095,5,0.44533862494820825,4,4.467435339142341,3,,,24.665676513760904,15.2,2.2372914272766993,3.04,4.89421460849276,3.04,4.798803670556248,3.04,5.153673757887116,3.8,7.613005551149881,7.6,0.9349459077461509,3.1666666666666665,0.3357633904404154,2.533333333333333,0.0,3.1666666666666665,1.1286723346181506,2.533333333333333,2.8335445809420268,2.533333333333333,0.0,4.75,0.34957678551198434,3.8,0.0,4.75,1.4621497378697037,4.75,4.303866884741392,6.08,1.7874013033134504,3.04,6.152551425010924,3.04
142,AL,Huntsville,4.24708173645968,18,4.436851851851852,9.326485940394003,1,5.3400039691996515,5,1.6663434231148095,5,0.44533862494820825,4,4.653828628983907,3,,,31.951165156623386,15.2,2.2372914272766993,3.04,4.89421460849276,3.04,4.798803670556248,3.04,5.153673757887116,3.8,7.613005551149881,7.6,0.9349459077461509,3.1666666666666665,0.3357633904404154,2.533333333333333,0.0,3.1666666666666665,1.1286723346181506,2.533333333333333,2.8335445809420268,2.533333333333333,0.0,4.75,0.34957678551198434,3.8,0.0,4.75,1.4621497378697037,4.75,4.814711618835327,6.08,1.7874013033134504,3.04,6.152551425010924,3.04
215,AL,Mobile,3.549802591447279,18,4.436851851851852,6.496043104899814,1,5.3400039691996515,5,1.6663434231148095,5,0.44533862494820825,4,3.6123561219941593,3,,,22.25448549815004,15.2,2.2372914272766993,3.04,4.89421460849276,3.04,4.798803670556248,3.04,5.153673757887116,3.8,7.613005551149881,7.6,0.9349459077461509,3.1666666666666665,0.3357633904404154,2.533333333333333,0.0,3.1666666666666665,1.1286723346181506,2.533333333333333,2.8335445809420268,2.533333333333333,0.0,4.75,0.34957678551198434,3.8,0.0,4.75,1.4621497378697037,4.75,1.9603666670854722,6.08,1.7874013033134504,3.04,6.152551425010924,3.04
193,AL,Montgomery,3.8127904800281507,18,4.436851851851852,7.413706011112982,1,5.3400039691996515,5,1.6663434231148095,5,0.44533862494820825,4,4.1925052366260305,3,,,25.398263257738368,15.2,2.2372914272766993,3.04,4.89421460849276,3.04,4.798803670556248,3.04,5.153673757887116,3.8,7.613005551149881,7.6,0.9349459077461509,3.1666666666666665,0.3357633904404154,2.533333333333333,0.0,3.1666666666666665,1.1286723346181506,2.533333333333333,2.8335445809420268,2.533333333333333,0.0,4.75,0.34957678551198434,3.8,0.0,4.75,1.4621497378697037,4.75,3.5503709019528373,6.08,1.7874013033134504,3.04,6.152551425010924,3.04
2,AR,,3.283091799214846,15,3.694444444444444,3.8962788348206767,1,6.569916358722237,4,2.572051493039383,4,0.42239286143016913,4,5.283939662821651,2,,,8.01520217448825,7.6,6.2134110787172006,3.04,5.9270126535851855,3.04,5.23650612244898,3.04,5.599006211180123,3.8,,,1.0121244069583553,3.1666666666666665,2.0332473997688685,2.533333333333333,,,0.580920740389179,2.533333333333333,3.869400375455515,2.533333333333333,0.8035714285714286,4.75,0.0,3.8,0.7675906183714286,4.75,0.4925287903302551,4.75,,,2.1465838509316773,3.04,6.54927113702624,3.04
202,AR,Fayetteville,4.109213675905178,15,4.2011111111111115,7.01464893079643,1,6.569916358722237,4,2.5720514930393836,4,0.42239286143016913,4,5.283939662821651,2,,,25.379634322479546,15.2,5.464054968721155,3.04,5.212197057172901,3.04,4.604967695620961,3.04,4.923749180686037,3.8,,,0.8900591518477997,3.1666666666666665,1.7880316329625725,2.533333333333333,,,0.5108599475784237,2.533333333333333,3.4027390236417836,2.533333333333333,0.7066582914572863,4.75,0.0,3.8,0.6750168754522612,4.75,0.4331283332049981,4.75,,,1.8876993663972033,3.04,5.759409291354732,3.04
