,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,M_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,M_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,M_georgetown_usaIndex,M_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,M_wallethub_womenEquity,M_hrc_stateEquityIndex,M_move_lgbtqFamily,M_map_equaliltyMaps,M_axios_lgbtq_equality,M_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,M_usNews_equalityRankings
0,AK,,4.418446840324183,15,3.4384,1,5.268599999999999,4,3.6948000000000003,4,4.346175651215686,4,4.8,2,,3.4384,3.04,6.828799999999999,6.1815999999999995,5.023999999999999,,3.8560000000000003,4.392,,2.144,4.3872,4.8,2.980392156862745,4.417910448,5.1864,,1.6,8.0
82,AK,Anchorage,4.647723682638985,17,5.8295,2,5.268599999999999,4,3.6948000000000003,4,4.346175651215686,4,4.704666666666667,3,5.7,5.9590000000000005,3.04,6.828799999999999,6.1815999999999995,5.023999999999999,,3.8560000000000003,4.392,,2.144,4.3872,4.8,2.980392156862745,4.417910448,5.1864,4.514,1.6,8.0
287,AK,Juneau,4.636488388521338,17,5.8295,2,5.268599999999999,4,3.6948000000000003,4,4.346175651215686,4,4.641,3,5.7,5.9590000000000005,3.04,6.828799999999999,6.1815999999999995,5.023999999999999,,3.8560000000000003,4.392,,2.144,4.3872,4.8,2.980392156862745,4.417910448,5.1864,4.3229999999999995,1.6,8.0
1,AL,,2.690046078431373,16,3.9504000000000006,1,4.306,4,1.73536,5,1.0934627450980392,4,4.407843137254902,2,,3.9504000000000006,2.7199999999999998,5.2264,5.0296,4.248,,1.904,1.6064,0.0,1.128,4.0384,0.4,0.627450980392157,0.0,3.3464,,1.6,7.215686274509804
198,AL,Birmingham,3.013518736383442,18,5.962,1,4.4448,5,1.73536,5,1.0934627450980392,4,4.3355620915032675,3,,5.962,2.7199999999999998,5.2264,5.0296,4.248,5.0,1.904,1.6064,0.0,1.128,4.0384,0.4,0.627450980392157,0.0,3.3464,4.191,1.6,7.215686274509804
142,AL,Huntsville,3.0881298474945535,18,7.225,1,4.4448,5,1.73536,5,1.0934627450980392,4,4.362228758169935,3,,7.225,2.7199999999999998,5.2264,5.0296,4.248,5.0,1.904,1.6064,0.0,1.128,4.0384,0.4,0.627450980392157,0.0,3.3464,4.271,1.6,7.215686274509804
215,AL,Mobile,2.9699076252723313,18,5.544,1,4.4448,5,1.73536,5,1.0934627450980392,4,4.213228758169935,3,,5.544,2.7199999999999998,5.2264,5.0296,4.248,5.0,1.904,1.6064,0.0,1.128,4.0384,0.4,0.627450980392157,0.0,3.3464,3.8240000000000003,1.6,7.215686274509804
193,AL,Montgomery,3.0140187363834428,18,6.089,1,4.4448,5,1.73536,5,1.0934627450980392,4,4.296228758169935,3,,6.089,2.7199999999999998,5.2264,5.0296,4.248,5.0,1.904,1.6064,0.0,1.128,4.0384,0.4,0.627450980392157,0.0,3.3464,4.0729999999999995,1.6,7.215686274509804
2,AR,,3.019487331969046,15,3.2,1,5.021199999999999,4,2.3775999999999997,4,1.1164343576290197,4,4.015686274509804,2,,3.2,6.08,5.26,4.7608,3.9839999999999995,,1.848,2.8288,,0.584,4.249599999999999,0.8,0.3137254901960785,0.47761194032,2.8744,,1.6,6.431372549019608
202,AR,Fayetteville,3.196287331969046,15,5.852,1,5.021199999999999,4,2.3775999999999997,4,1.1164343576290197,4,4.015686274509804,2,,5.852,6.08,5.26,4.7608,3.9839999999999995,,1.848,2.8288,,0.584,4.249599999999999,0.8,0.3137254901960785,0.47761194032,2.8744,,1.6,6.431372549019608
282,AR,Fort Smith,3.27264437372098,16,5.852,1,5.021199999999999,4,2.3775999999999997,4,1.1164343576290197,4,4.149790849673203,3,,5.852,6.08,5.26,4.7608,3.9839999999999995,,1.848,2.8288,,0.584,4.249599999999999,0.8,0.3137254901960785,0.47761194032,2.8744,4.418,1.6,6.431372549019608
164,AR,Little Rock,3.3300193737209804,16,6.641,1,5.021199999999999,4,2.3775999999999997,4,1.1164343576290197,4,4.1927908496732025,3,,6.641,6.08,5.26,4.7608,3.9839999999999995,,1.848,2.8288,,0.584,4.249599999999999,0.8,0.3137254901960785,0.47761194032,2.8744,4.547,1.6,6.431372549019608
3,AS,,1.3532338311999998,1,,0,,0,,0,1.3532338311999998,1,,0,,,,,,,,,,,,,,,1.3532338311999998,,,,
4,AZ,,3.390903771354771,15,3.7192,1,4.719,4,3.5714000000000006,4,2.169218554345098,4,2.652941176470588,2,,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,,0.6,4.705882352941177
89,AZ,Chandler,3.609620974724798,17,4.4821,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.5202941176470586,3,5.245,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.255,0.6,4.705882352941177
244,AZ,Gilbert,3.600915092371857,17,4.4821,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.4709607843137253,3,5.245,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.107,0.6,4.705882352941177
257,AZ,Glendale,3.5895033276659745,17,4.4821,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.4062941176470587,3,5.245,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,4.913,0.6,4.705882352941177
99,AZ,Mesa,3.5987974453130334,17,4.4620999999999995,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.4722941176470585,3,5.205,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.111,0.6,4.705882352941177
237,AZ,Peoria,3.604562151195386,17,4.4620999999999995,2,4.719,4,3.5714000000000006,4,2.169218554345098,4,3.5049607843137256,3,5.205,3.7192,1.7600000000000002,6.284,5.912000000000001,4.92,,3.6239999999999997,4.8896,,0.6559999999999999,5.1160000000000005,0.8,1.5686274509803924,1.8706467663999997,4.4376,5.2090000000000005,0.6,4.705882352941177
