,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,M_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,M_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,M_georgetown_usaIndex,M_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,M_wallethub_womenEquity,M_hrc_stateEquityIndex,M_move_lgbtqFamily,M_map_equaliltyMaps,M_axios_lgbtq_equality,M_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,M_usNews_equalityRankings
0,AK,,4.863134035710092,15,3.5184374473817144,1,6.224896776101746,4,4.3978450739295365,4,4.2126622916013545,4,5.043478260869565,2,,3.5184374473817144,2.9387755102040813,8.0,7.797333333333333,6.1634782608695655,,4.649446494464945,4.803982576228998,,3.2691029900332227,4.868848234990981,5.5,2.775510204081633,4.417910448,4.157228514323783,,2.0869565217391304,8.0
82,AK,Anchorage,5.035384680951079,17,5.763556869298829,2,6.224896776101746,4,4.3978450739295365,4,4.2126622916013545,4,4.9109364236800515,3,4.332299796856623,7.194813941741034,2.9387755102040813,8.0,7.797333333333333,6.1634782608695655,,4.649446494464945,4.803982576228998,,3.2691029900332227,4.868848234990981,5.5,2.775510204081633,4.417910448,4.157228514323783,4.645852749301024,2.0869565217391304,8.0
287,AK,Juneau,4.983030095127934,17,5.763556869298829,2,6.224896776101746,4,4.3978450739295365,4,4.2126622916013545,4,4.614260437348892,3,4.332299796856623,7.194813941741034,2.9387755102040813,8.0,7.797333333333333,6.1634782608695655,,4.649446494464945,4.803982576228998,,3.2691029900332227,4.868848234990981,5.5,2.775510204081633,4.417910448,4.157228514323783,3.7558247903075452,2.0869565217391304,8.0
1,AL,,2.555242106424652,16,4.380535443677387,1,4.685913570979917,4,1.4139836883557921,5,0.3547838855728832,4,4.6353149955634425,2,,4.380535443677387,2.6122448979591835,5.714448723434602,5.6030476190476195,4.813913043478261,,1.0479704797047968,0.47044181705040433,0.0,1.581395348837209,3.9701107961865505,0.0,0.326530612244898,0.0,1.0926049300466347,,2.0869565217391304,7.183673469387754
198,AL,Birmingham,2.8493541630322192,18,7.1998652971880786,1,4.637619745672822,5,1.4139836883557921,5,0.3547838855728832,4,4.137118974985754,3,,7.1998652971880786,2.6122448979591835,5.714448723434602,5.6030476190476195,4.813913043478261,4.444444444444445,1.0479704797047968,0.47044181705040433,0.0,1.581395348837209,3.9701107961865505,0.0,0.326530612244898,0.0,1.0926049300466347,3.14072693383038,2.0869565217391304,7.183673469387754
142,AL,Huntsville,2.988210119859389,18,9.326485940394004,1,4.637619745672822,5,1.4139836883557921,5,0.3547838855728832,4,4.2613811682134655,3,,9.326485940394004,2.6122448979591835,5.714448723434602,5.6030476190476195,4.813913043478261,4.444444444444445,1.0479704797047968,0.47044181705040433,0.0,1.581395348837209,3.9701107961865505,0.0,0.326530612244898,0.0,1.0926049300466347,3.5135135135135114,2.0869565217391304,7.183673469387754
215,AL,Mobile,2.715244128221962,18,6.496043104899814,1,4.637619745672822,5,1.4139836883557921,5,0.3547838855728832,4,3.5670661635536334,3,,6.496043104899814,2.6122448979591835,5.714448723434602,5.6030476190476195,4.813913043478261,4.444444444444445,1.0479704797047968,0.47044181705040433,0.0,1.581395348837209,3.9701107961865505,0.0,0.326530612244898,0.0,1.0926049300466347,1.4305684995340164,2.0869565217391304,7.183673469387754
193,AL,Montgomery,2.830686413526235,18,7.413706011112983,1,4.637619745672822,5,1.4139836883557921,5,0.3547838855728832,4,3.953832239974881,3,,7.413706011112983,2.6122448979591835,5.714448723434602,5.6030476190476195,4.813913043478261,4.444444444444445,1.0479704797047968,0.47044181705040433,0.0,1.581395348837209,3.9701107961865505,0.0,0.326530612244898,0.0,1.0926049300466347,2.590866728797759,2.0869565217391304,7.183673469387754
2,AR,,2.840882233954059,15,3.1170230678565414,1,5.312254991870424,4,2.127203178677572,4,0.32101857468692857,4,4.2271517302573205,2,,3.1170230678565414,6.040816326530611,5.7623734132078175,5.091047619047619,4.354782608695651,,0.9446494464944649,2.372121966397013,,0.6777408637873754,4.514300438031434,0.5,0.0,0.47761194032,0.30646235842771424,,2.0869565217391304,6.36734693877551
202,AR,Fayetteville,3.100723958150051,15,7.014648930796431,1,5.312254991870424,4,2.127203178677572,4,0.32101857468692857,4,4.2271517302573205,2,,7.014648930796431,6.040816326530611,5.7623734132078175,5.091047619047619,4.354782608695651,,0.9446494464944649,2.372121966397013,,0.6777408637873754,4.514300438031434,0.5,0.0,0.47761194032,0.30646235842771424,,2.0869565217391304,6.36734693877551
282,AR,Fort Smith,3.1693355141207524,16,7.014648930796431,1,5.312254991870424,4,2.127203178677572,4,0.32101857468692857,4,4.2176041047319694,3,,7.014648930796431,6.040816326530611,5.7623734132078175,5.091047619047619,4.354782608695651,,0.9446494464944649,2.372121966397013,,0.6777408637873754,4.514300438031434,0.5,0.0,0.47761194032,0.30646235842771424,4.1985088536812665,2.0869565217391304,6.36734693877551
164,AR,Little Rock,3.289937066765244,16,8.343155413369255,1,5.312254991870424,4,2.127203178677572,4,0.32101857468692857,4,4.4179768913116515,3,,8.343155413369255,6.040816326530611,5.7623734132078175,5.091047619047619,4.354782608695651,,0.9446494464944649,2.372121966397013,,0.6777408637873754,4.514300438031434,0.5,0.0,0.47761194032,0.30646235842771424,4.7996272134203135,2.0869565217391304,6.36734693877551
3,AS,,1.3532338311999998,1,,0,,0,,0,1.3532338311999998,1,,0,,,,,,,,,,,,,,,1.3532338311999998,,,,
4,AZ,,3.6641926547093973,15,3.991244317225122,1,5.5305016669836995,4,4.335888750422425,4,1.64670729385156,4,2.459627329192547,2,,3.991244317225122,1.6326530612244894,7.22293538724861,7.283809523809525,5.982608695652175,,4.221402214022139,5.57809583074051,,0.7973421926910298,6.746714764236023,0.5,1.306122448979592,1.8706467663999997,2.910059960026648,,0.34782608695652173,4.571428571428572
89,AZ,Chandler,3.9071193062030782,17,3.67529712921023,2,5.5305016669836995,4,4.335888750422425,4,1.64670729385156,4,4.339347700667041,3,3.359349941195338,3.991244317225122,1.6326530612244894,7.22293538724861,7.283809523809525,5.982608695652175,,4.221402214022139,5.57809583074051,,0.7973421926910298,6.746714764236023,0.5,1.306122448979592,1.8706467663999997,2.910059960026648,8.098788443616028,0.34782608695652173,4.571428571428572
244,AZ,Gilbert,3.866551354884619,17,3.67529712921023,2,5.5305016669836995,4,4.335888750422425,4,1.64670729385156,4,4.109462643195776,3,3.359349941195338,3.991244317225122,1.6326530612244894,7.22293538724861,7.283809523809525,5.982608695652175,,4.221402214022139,5.57809583074051,,0.7973421926910298,6.746714764236023,0.5,1.306122448979592,1.8706467663999997,2.910059960026648,7.409133271202236,0.34782608695652173,4.571428571428572
