US WPS Index rank,State,US WPS Index 2020,Score
1,Massachusetts,0.709,70.9
2,Connecticut,0.696,69.6
3,District of Columbia,0.695,69.5
4,Vermont,0.691,69.1
5,Rhode Island,0.679,67.9
6,New Hampshire,0.652,65.2
7,Maryland,0.639,63.9
8,New York,0.634,63.4
9,Maine,0.632,63.2
10,Hawaii,0.626,62.6
11,New Jersey,0.607,60.7
12,Minnesota,0.606,60.6
13,Illinois,0.602,60.2
14,Colorado,0.565,56.5
15,California,0.564,56.4
16,Wisconsin,0.559,55.9
17,Pennsylvania,0.545,54.5
18,Oregon,0.541,54.1
19,Nebraska,0.537,53.7
20,North Dakota,0.529,52.9
21,Michigan,0.527,52.7
22,Delaware,0.524,52.4
23,Iowa,0.521,52.1
24,Washington,0.52,52
25,Ohio,0.506,50.6
26,Kansas,0.485,48.5
26,Virginia,0.485,48.5
28,Alaska,0.482,48.2
29,South Dakota,0.469,46.9
30,Florida,0.461,46.1
31,Arizona,0.453,45.3
32,Montana,0.446,44.6
32,North Carolina,0.446,44.6
34,Indiana,0.435,43.5
35,Nevada,0.432,43.2
36,Utah,0.4,40
37,Georgia,0.382,38.2
38,Missouri,0.381,38.1
39,Idaho,0.371,37.1
40,New Mexico,0.365,36.5
41,Texas,0.355,35.5
42,Oklahoma,0.339,33.9
43,Wyoming,0.308,30.8
44,South Carolina,0.304,30.4
45,Tennessee,0.299,29.9
46,West Virginia,0.294,29.4
47,Kentucky,0.277,27.7
48,Alabama,0.238,23.8
49,Arkansas,0.231,23.1
50,Mississippi,0.182,18.2
51,Louisiana,0.167,16.7
