State,Processed
Alabama,0.5
Alaska,6
Arizona,1
Arkansas,1
California,8.5
Colorado,8.5
Connecticut,8.5
Delaware,6.5
DC,8.5
Florida,4.5
Georgia,1.5
Hawaii,8
Idaho,1
Illinois,8
Indiana,1.5
Iowa,5
Kansas,4.5
Kentucky,3
Louisiana,0.5
Maine,8.5
Maryland,7
Massachusetts,7.5
Michigan,2
Minnesota,7.5
Mississippi,0.5
Missouri,1
Montana,1.5
Nebraska,2.5
Nevada,8.5
New Hampshire,6.5
New Jersey,8.5
New Mexico,6.5
New York,8.5
North Carolina,1.5
North Dakota,4
Ohio,1.5
Oklahoma,1
Oregon,8.5
Pennsylvania,5.5
Rhode Island,8.5
South Carolina,0.5
South Dakota,0.5
Tennessee,0.5
Texas,1.5
Utah,4.5
Vermont,8.5
Virginia,8
Washington,8.5
West Virginia,0.5
Wisconsin,3.5
Wyoming,0.5
