State,Processed
Alabama,1.41
Alaska,2.68
Arizona,0.82
Arkansas,0.73
California,6.22
Colorado,2.23
Connecticut,5.45
Delaware,3.32
DC,3.5
Florida,2.76
Georgia,1.95
Hawai,4.95
Idaho,0.33
Illinois,4.13
Indiana,1.3
Iowa,1.42
Kansas,1.89
Kentucky,1.68
Louisiana,1.28
Maine,5.26
Maryland,5.21
Massachusetts,3.87
Michigan,1.65
Minnesota,3.89
Mississippi,1.59
Missouri,0.22
Montana,3.94
Nebraska,0.6
Nevada,3.41
New Hampshire,3.2
New Jersey,6.24
New Mexico,5.02
New York,5.42
North Carolina,2.97
North Dakota,0.78
Ohio,1.45
Oklahoma,1.47
Oregon,5.77
Pennsylvania,2.52
Rhode Island,4.78
South Carolina,1.79
South Dakota,0.74
Tennessee,1.87
Texas,2.32
Utah,1.37
Vermont,5.12
Virginia,2.7
Washington,5.9
West Virginia,1.1
Wisconsin,2.3
Wyoming,1.54
