Rank,State,Comp Score
1,District of Columbia,10
2,Massachusetts,9.8
3,California,9.6
4,Vermont,9.4
5,New York,9.2
6,Oregon,9
7,Maine,8.8
8,Colorado,8.6
9,Illinois,8.4
10,New Jersey,8.2
11,Connecticut,8
12,Washington,7.8
13,New Hampshire,7.6
14,Nevada,7.4
15,Hawaii,7.2
16,New Mexico,7
16,Delaware,7
18,Maryland,6.6
19,Rhode Island,6.4
20,Minnesota,6.2
21,Virginia,6
22,Utah,5.8
23,Iowa,5.6
24,Michigan,5.4
25,Wisconsin,5.2
26,North Carolina,5
27,Georgia,4.8
28,Missouri,4.6
29,Ohio,4.4
30,Kentucky,4.2
31,Pennsylvania,4
32,North Dakota,3.8
33,Alaska,3.6
34,Florida,3.4
35,Montana,3.2
36,Indiana,3
37,West Virginia,2.8
38,Tennessee,2.6
39,Nebraska,2.4
40,Kansas,2.2
41,Louisiana,2
42,Arizona,1.8
43,South Dakota,1.6
44,Idaho,1.4
45,Texas,1.2
46,Oklahoma,1
47,Mississippi,0.8
48,Alabama,0.6
49,South Carolina,0.4
50,Arkansas,0.2
50,Wyoming,0.2
