State,Score,from 0 to 10
Connecticut,62.5,10
Hawaii,62.50,10
New Jersey,60,9.565217391
Massachusetts,57.5,9.130434783
California,55,8.695652174
Oregon,55,8.695652174
Colorado,52.5,8.260869565
Wisconsin,52.5,8.260869565
Florida,50,7.826086957
Maryland,50,7.826086957
Minnesota,50,7.826086957
Pennsylvania,50,7.826086957
Georgia,47.5,7.391304348
Michigan,47.5,7.391304348
Illinois,45,6.956521739
Tennessee,45,6.956521739
Vermont,45,6.956521739
Ohio,42.5,6.52173913
Iowa,40,6.086956522
New York,40,6.086956522
Utah,40,6.086956522
West Virginia,40,6.086956522
Kentucky,37.5,5.652173913
Oklahoma,37.5,5.652173913
Washington,37.5,5.652173913
Virginia,35,5.217391304
D.C.,32.5,4.782608696
New Mexico,32.5,4.782608696
North Carolina,30,4.347826087
Idaho,27.5,3.913043478
Kansas,27.5,3.913043478
Montana,27.5,3.913043478
Texas,27.5,3.913043478
Indiana,25,3.47826087
Maine,25,3.47826087
Missouri,25,3.47826087
Nebraska,25,3.47826087
Puerto Rico,25,3.47826087
Rhode Island,25,3.47826087
North Dakota,22.5,3.043478261
Alaska,20,2.608695652
Alabama,20,2.608695652
Arkansas,20,2.608695652
Wyoming,20,2.608695652
Delaware,17.5,2.173913043
South Carolina,17.5,2.173913043
New Hampshire,15,1.739130435
Louisiana,10,0.8695652174
Mississippi,10,0.8695652174
Nevada,10,0.8695652174
Arizona,7.5,0.4347826087
South Dakota,5,0
