Rank,City,State,Score,Economy,Quality of Life,Health Care,Comp Score
1,Minneapolis,MN,56.63,166,8,1,10.00
2,Pittsburgh,PA,56.02,120,19,6,9.89
3,St. Louis,MO,56,111,5,24,9.89
4,Columbia,MD,55.98,9,101,9,9.89
5,Huntington Beach,CA,55.78,44,20,33,9.85
6,Scottsdale,AZ,55.36,10,45,48,9.78
7,Overland Park,KS,55.24,3,163,7,9.75
8,Philadelphia,PA,55.22,161,4,13,9.75
9,Virginia Beach,VA,55.04,1,87,90,9.72
10,Tempe,AZ,55.03,8,51,64,9.72
11,Denver,CO,55.03,112,18,19,9.72
12,San Francisco,CA,54.94,159,9,11,9.70
13,Yonkers,NY,54.71,39,42,28,9.66
14,St. Paul,MN,54.26,147,38,2,9.58
15,New York,NY,54.14,135,6,50,9.56
16,Columbus,OH,54.12,22,24,97,9.56
17,Seattle,WA,54.04,123,13,32,9.54
18,Portland,ME,53.73,105,64,8,9.49
19,Madison,WI,53.46,61,77,15,9.44
20,Tucson,AZ,53.44,126,7,80,9.44
21,Jersey City,NJ,53.38,113,21,34,9.43
22,Fremont,CA,53.2,52,100,12,9.39
23,Oakland,CA,53.06,170,11,16,9.37
24,Omaha,NE,52.76,90,58,20,9.32
25,Chandler,AZ,52.55,16,88,58,9.28
26,Rochester,NY,52.38,141,10,70,9.25
27,San Jose,CA,52.23,127,49,18,9.22
28,Peoria,AZ,52.09,15,105,54,9.20
29,Buffalo,NY,52.06,110,28,62,9.19
30,Lincoln,NE,52.01,47,109,21,9.18
31,Colorado Springs,CO,51.96,55,70,49,9.18
32,St. Petersburg,FL,51.86,17,47,120,9.16
33,Kansas City,MO,51.8,32,71,78,9.15
34,Oceanside,CA,51.72,58,74,52,9.13
35,Plano,TX,51.64,2,139,96,9.12
36,Irvine,CA,51.61,115,50,29,9.11
37,Cincinnati,OH,51.56,92,25,94,9.10
38,Glendale,CA,51.56,157,17,42,9.10
39,Akron,OH,51.53,36,112,41,9.10
40,San Diego,CA,51.5,102,53,44,9.09
41,Riverside,CA,51.4,41,39,114,9.08
42,Fort Lauderdale,FL,51.33,40,33,134,9.06
43,Nashua,NH,51.27,124,56,25,9.05
44,Cleveland,OH,51.23,150,14,67,9.05
45,Chicago,IL,51.13,153,12,75,9.03
46,Mesa,AZ,51.11,43,83,73,9.03
47,Salt Lake City,UT,51.07,104,16,111,9.02
48,Gilbert,AZ,51.07,20,124,51,9.02
49,Tacoma,WA,51.06,51,62,83,9.02
50,Miami,FL,50.99,171,2,98,9.00
51,Grand Rapids,MI,50.91,96,46,72,8.99
52,Sacramento,CA,50.89,108,37,81,8.99
53,Washington,DC,50.86,179,3,66,8.98
53,Wilmington,DE,50.86,168,22,27,8.98
55,Billings,MT,50.7,60,145,17,8.95
56,Missoula,MT,50.68,173,90,3,8.95
57,Baltimore,MD,50.64,163,15,60,8.94
58,Sioux Falls,SD,50.4,86,118,22,8.90
59,Des Moines,IA,50.38,70,106,35,8.90
60,Milwaukee,WI,50.33,122,104,14,8.89
61,Louisville,KY,50.33,88,72,63,8.89
62,Garden Grove,CA,50.31,125,61,43,8.88
63,Spokane,WA,50.3,72,44,103,8.88
64,Lexington-Fayette,KY,50.25,78,86,57,8.87
65,Fargo,ND,50.16,42,141,36,8.86
66,Orlando,FL,50.14,54,55,113,8.85
67,Portland,OR,50.13,176,1,123,8.85
68,Santa Ana,CA,50.06,99,63,69,8.84
69,Austin,TX,50.02,27,79,119,8.83
70,Vancouver,WA,50.02,73,29,139,8.83
71,Lewiston,ME,49.91,152,117,5,8.81
72,Rancho Cucamonga,CA,49.83,50,69,107,8.80
73,Albuquerque,NM,49.68,131,84,31,8.77
74,Indianapolis,IN,49.65,80,96,56,8.77
75,Anaheim,CA,49.62,136,57,55,8.76
76,Aurora,CO,49.59,95,108,37,8.76
77,Toledo,OH,49.51,68,68,100,8.74
78,Bakersfield,CA,49.49,31,81,127,8.74
79,Long Beach,CA,49.39,172,32,47,8.72
80,Cedar Rapids,IA,49.36,75,131,39,8.72
81,Raleigh,NC,49.22,25,122,93,8.69
82,Los Angeles,CA,49.19,175,23,53,8.69
83,Glendale,AZ,49.13,71,97,77,8.68
84,Santa Clarita,CA,49.13,106,115,30,8.68
85,San Antonio,TX,49.08,38,94,105,8.67
86,Manchester,NH,49.05,137,82,40,8.66
87,South Burlington,VT,49.03,146,31,88,8.66
88,Boston,MA,48.91,164,65,23,8.64
89,El Paso,TX,48.9,18,143,85,8.63
90,Laredo,TX,48.88,53,177,10,8.63
91,Worcester,MA,48.8,83,126,46,8.62
92,Phoenix,AZ,48.79,87,89,82,8.62
93,Tampa,FL,48.72,91,48,129,8.60
94,Fresno,CA,48.55,155,52,61,8.57
95,Springfield,MO,48.54,67,40,160,8.57
96,Chesapeake,VA,48.37,4,161,116,8.54
97,Oxnard,CA,48.31,82,95,89,8.53
98,Jacksonville,FL,48.28,37,119,109,8.53
99,Warwick,RI,48.25,13,157,91,8.52
