State,Score,,,,,Comp Score
Hawaii,78.6,3,7,1,7,7.86
Alaska,77.27,1,14,7,5,7.73
New Mexico,76.28,2,2,2,43,7.63
Delaware,75.02,9,10,5,6,7.50
Arizona,73.9,4,6,6,37,7.39
Washington,72.81,8,11,16,9,7.28
Texas,72.73,5,8,18,15,7.27
Kentucky,72.15,11,5,19,18,7.22
Maryland,71.56,7,25,11,11,7.16
Montana,71.25,6,22,3,47,7.13
Georgia,70.95,14,9,12,24,7.10
Idaho,69.33,17,4,14,34,6.93
West Virginia,69.04,23,3,30,23,6.90
Florida,69.01,10,28,28,8,6.90
Tennessee,68.9,15,12,21,26,6.89
Wyoming,68.61,34,1,4,48,6.86
Virginia,67.92,12,30,13,31,6.79
Colorado,66.98,13,34,23,22,6.70
California,66.93,22,15,9,29,6.69
North Carolina,66.16,16,24,10,46,6.62
Oklahoma,65.83,27,13,15,35,6.58
New Jersey,64.94,29,23,24,19,6.49
Nevada,64.3,28,31,26,13,6.43
Missouri,64.3,26,21,25,30,6.43
Vermont,63.47,25,19,41,10,6.35
Indiana,63.1,39,17,20,25,6.31
Alabama,62.87,31,20,29,38,6.29
Massachusetts,62.83,21,37,45,2,6.28
Maine,62.04,35,44,27,1,6.20
South Carolina,61.87,20,33,33,40,6.19
Connecticut,61.51,32,35,31,32,6.15
Rhode Island,61.32,18,47,37,14,6.13
New York,60.47,37,41,36,16,6.05
Kansas,60.43,36,43,17,33,6.04
Ohio,59.88,44,27,32,17,5.99
Oregon,59.85,19,18,49,20,5.99
Utah,59.56,38,42,8,44,5.96
Arkansas,59.51,33,16,46,27,5.95
Mississippi,57.83,40,40,34,28,5.78
New Hampshire,57.66,30,29,40,51,5.77
Louisiana,57.23,43,32,38,39,5.72
Illinois,55.19,47,38,35,21,5.52
Pennsylvania,55.03,42,26,44,36,5.50
South Dakota,54.83,23,46,50,42,5.48
Michigan,54.78,45,39,39,41,5.48
Nebraska,52.71,41,49,22,45,5.27
North Dakota,52.57,46,36,47,4,5.26
Minnesota,50.77,48,48,43,3,5.08
Iowa,48.97,49,45,48,12,4.90
Wisconsin,32.31,50,50,51,49,3.23
District of Columbia,26.1,51,51,42,50,2.61
