State,Score,Comp Score
New Mexico,70.03,7.003
Nevada,69.57,6.957
California,68.57,6.857
New York,68.52,6.852
Vermont,67.4,6.74
West Virginia,66.57,6.657
Hawaii,66.54,6.654
Maine,65.97,6.597
Massachusetts,65.65,6.565
Michigan,65.04,6.504
Minnesota,64.93,6.493
Iowa,64.66,6.466
Connecticut,64.37,6.437
Washington,64.27,6.427
Arizona,63.95,6.395
Rhode Island,62.9,6.29
Wisconsin,60.51,6.051
Illinois,60.19,6.019
Maryland,60.12,6.012
Delaware,60.1,6.01
Kentucky,60.09,6.009
South Dakota,58.31,5.831
Oregon,58.16,5.816
New Hampshire,57.32,5.732
North Carolina,55.99,5.599
Montana,55.89,5.589
Pennsylvania,55.74,5.574
North Dakota,55.44,5.544
Florida,55.06,5.506
Alaska,54.84,5.484
Virginia,54.61,5.461
Arkansas,53.12,5.312
Wyoming,52.81,5.281
Missouri,52.79,5.279
New Jersey,52.51,5.251
Nebraska,52.47,5.247
Ohio,51.86,5.186
Mississippi,51.09,5.109
Indiana,50.91,5.091
Louisiana,50.6,5.06
Alabama,50.48,5.048
Texas,50.44,5.044
Kansas,49.85,4.985
Colorado,49.14,4.914
Tennessee,49.02,4.902
South Carolina,47.48,4.748
Oklahoma,46.09,4.609
Idaho,44.18,4.418
Georgia,43.99,4.399
Utah,31.22,3.122
DC,57.365,5.7365
